179,Julian,9203569175,4-5 K.B Layout,Tirupati,549829,58,83,44,69,63.00,1.50
180,Elijah,9171573982,303 Srirampuram,Bhimavaram,531854,62,24,16,77,44.00,1.38
181,Gillian,9868704412,G107 mvp colony,Vizag,500575,98,62,16,43,54.00,1.63
182,Lysandra,9483947630,64 Kadubeesanahalli,Banglore,587769,70,66,35,6,44.00,1.25
183,Dorian,9457434522,1/3 Marathahalli,Banglore,539693,44,20,3,26,23.00,0.00
184,Dennis,9457944274,1-2-3 aditya nagar,Rajahmundry,564266,44,2,59,29,33.00,0.00
185,Jerome,9111111157,1/2/3 Adarsh Nagar,Bhimavaram,599054,10,6,16,36,17.00,0.00
186,Cain,9156052864,90123-123 camp,Karnool,538903,54,88,86,12,60.00,1.75
187,George,9979204270,19-1-0 Appartments street,Bhimavaram,571471,68,93,40,21,55.00,1.63
188,Emma,9462032912,A108 Street akkayapalem,Vizag,555138,14,100,24,29,41.00,1.00
189,Leroy,9177013018,0-90-11 rushikonda,Vizag,595208,26,25,97,86,58.00,1.88
190,Cecilia,9754919684,64 Kadubeesanahalli,Banglore,568256,18,59,99,55,57.00,1.00
191,Zelda,9361349827,1-1-3 A colony,Kakinada,559064,78,92,19,82,67.00,2.63
192,Carter,9368333325,5th street 4th house morampudi,Rajahmundry,598166,13,3,71,62,37.00,1.38
193,Hector,9889011298,4-5 K.B Layout,Tirupati,580696,3,46,94,91,58.00,2.00
194,Hashim,9175174716,2-3-4 AVB Nagar,Kakinada,589095,40,94,29,95,64.00,2.00
195,Melanie,9068165126,4-5 K.B Layout,Tirupati,540629,14,98,9,28,37.00,1.00
196,Walker,9000399747,1-2-5 Tirumala,Tirupati,583344,24,82,49,100,63.00,1.88
197,Xenos,9277142761,2-4-5 Jayanagar,Banglore,537382,12,20,67,6,26.00,0.63
198,Kermit,9743443402,2nd street 4th house morampudi,Rajahmundry,534501,12,94,63,86,63.00,2.50
199,Honorato,9840127827,102-1 c camp,Karnool,591266,86,59,91,79,78.00,2.63
200,Craig,9372593544,1 Hebbal,Banglore,549200,63,72,33,39,51.00,1.38
